Auger,Depth (cm),pH,EC (ds/m),Ca²⁺ (ppm),Mg²⁺ (ppm),Na⁺ (ppm),K⁺ (ppm),CaCO₃ (%),Texture,ESP,Land Capability Class,Date,T2M,RH,WS,SWGDN,Water_TDS (ppm),Water_Salinity_Class,crop recomended
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-01,16.09,61.29,3.96,12.41,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-02,15.54,71.62,3.47,13.19,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-03,15.65,77.0,4.51,9.84,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-04,16.06,77.48,5.82,10.92,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-05,16.93,77.73,7.13,11.15,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-06,16.59,79.34,5.64,13.22,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-07,16.1,80.4,3.27,12.12,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-08,16.44,74.99,4.12,13.16,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-09,16.53,77.28,5.07,13.31,1024.0,Medium,Barley
Auger 1,0-10,9.26,1.6,193.0,56.5,206.5,19.8,40.95,Sandy Loam,4.756578382618498,S2,2025-01-10,16.0,81.63,5.39,11.33,1024.0,Medium,Barley
